ido;idd;costo
1;3;
17;1;
3;12;
12;19;
19;13;
13;18;
18;5;
5;21;
21;2;
2;14;
14;7;
7;6;
6;15;
15;9;
9;10;
10;20;
20;8;
8;22;
22;11;
11;4;
4;23;
23;25;
25;19;
16;20;
24;17;
